,% difference,area,new price,old price,price difference,property area,rooms,type,zip code
79,-4 %,66 m²,2.895.000,2.790.000,-105.000,0 m²,2, Ejerlejlighed,2300 København S
80,-1 %,106 m²,4.095.000,4.045.000,-50.000,35 m²,4, Rækkehus,2300 København S
81,-2 %,108 m²,4.695.000,4.595.000,-100.000,0 m²,3, Ejerlejlighed,2300 København S
82,-5 %,51 m²,2.095.000,1.995.000,-100.000,0 m²,2, Ejerlejlighed,2300 København S
83,-5 %,151 m²,6.500.000,6.200.000,-300.000,0 m²,2, Ejerlejlighed,2300 København S
84,-5 %,116 m²,6.495.000,6.195.000,-300.000,0 m²,4, Ejerlejlighed,2300 København S
85,-5 %,62 m²,2.095.000,1.995.000,-100.000,0 m²,2, Ejerlejlighed,2300 København S
86,-2 %,92 m²,4.195.000,4.095.000,-100.000,200 m²,4, Rækkehus,2300 København S
87,-4 %,110 m²,5.195.000,4.995.000,-200.000,0 m²,3, Ejerlejlighed,2300 København S
88,-4 %,79 m²,5.000.000,4.800.000,-200.000,322 m²,4, Villa,2300 København S
89,-1 %,89 m²,4.849.000,4.799.000,-50.000,0 m²,4, Ejerlejlighed,2300 København S
90,-7 %,119 m²,6.250.000,5.795.000,-455.000,0 m²,5, Ejerlejlighed,2300 København S
91,-3 %,95 m²,2.595.000,2.525.000,-70.000,0 m²,4, Ejerlejlighed,2300 København S
92,-6 %,73 m²,2.225.000,2.100.000,-125.000,0 m²,3, Ejerlejlighed,2400 København NV
93,-12 %,103 m²,4.500.000,3.950.000,-550.000,0 m²,6, Villa,2450 København SV
94,-3 %,81 m²,3.495.000,3.395.000,-100.000,0 m²,2, Ejerlejlighed,2450 København SV
95,-2 %,98 m²,4.495.000,4.395.000,-100.000,0 m²,3, Ejerlejlighed,2450 København SV
96,-5 %,95 m²,3.895.000,3.695.000,-200.000,0 m²,3, Ejerlejlighed,2450 København SV
97,-6 %,50 m²,1.695.000,1.595.000,-100.000,0 m²,2, Ejerlejlighed,2450 København SV
98,-4 %,96 m²,4.145.000,3.998.000,-147.000,0 m²,4, Ejerlejlighed,2450 København SV
99,-3 %,110 m²,4.125.000,3.995.000,-130.000,0 m²,4, Ejerlejlighed,2450 København SV
