CarName;HK;KM;KmPerLiter;KMT;Price;Year
Skoda Citigo 1.0 M...n aut. 5d;60;4.0;24.4;15.3;144900;2017
Ford S0MAX 2.0 TDC...n 7prs 5d;140;68.0;17.9;10.2;209900;2012
Audi A6 3.0 TDi Av...Tiptr. 5d;240;292.0;14.1;7.00;139900;2009
BMW 520i 2.0 Touri...g aut. 5d;184;56.0;14.9;8.3;479900;2014
Audi A4 3.0 TDi 20...ltitr. 5d;204;153.0;19.6;7.3;289900;2013
Volvo V40 1.6 D2 1...rive0E 5d;115;73.0;29.4;11.9;179900;2014
Audi A4 2.0 TDi 19...ltitr. 4d;190;168.0;22.2;7.8;289800;2015
Suzuki Swift 1.3 D...Aircon 5d;75;137.0;24.4;12.7;59900;2012
BMW 320d 2.0 Gran ...o aut. 5d;184;54.0;20.4;7.9;369900;2014
Fiat 500 0.9 TwinA...opstar 3d;80;12.0;26.3;11.00;94795;2016
Audi A5 1.8 TFSi 1...ltitr. 5d;177;45.0;16.9;8.4;399900;2016
Hyundai i30 1.0 T0... Life+ 5d;120;8.0;20.4;11.1;184700;2017
VW Polo 1.4 TSi 15...GT DSG 5d;150;13.0;21.3;7.8;209900;2014
Volvo V50 1.8 Kinetic 5d;125;254.0;13.7;11.00;48800;2005
Renault Captur 0.9...90 Zen 5d;90;7.0;19.6;13.00;164900;2017
Fiat 500 1.2 Lounge 3d;69;88.0;20.8;12.9;59900;2011
Ford Fiesta 1.0 SC...tanium 5d;125;23.0;23.3;9.4;119800;2014
Hyundai i30 1.6 CR...SG Eco 5d;110;50.0;27;11.5;129900;2012
DS DS 4 1.6 BlueHD...k EAT6 5d;120;29.0;25.6;12.5;229900;2015
Audi A5 2.0 TFSi 1...ltitr. 2d;180;79.0;13.5;8.9;344900;2009
Peugeot 308 1.6 Bl...ive SW 5d;120;13.0;31.3;10.1;204800;2015
Renault Clio IV 1....imited 5d;90;11.0;31.3;12.1;144900;2016
VW Tiguan 1.4 TSi ...ne DSG 5d;150;12.0;16.7;9.2;409900;2017
Opel Insignia 2.0 ...ion ST 5d;130;208.0;16.6;11.6;104900;2009
BMW 420i 2.0 Coup...9 aut. 2d;184;116.0;16.7;7.6;369900;2014
Toyota Yaris 1.0 V... Style 5d;69;1.0;23.3;15.3;129900;2017
Ford Mondeo 2.0 TD...r aut. 5d;130;189.0;14.1;11.4;99900;2008
VW Golf VII 1.4 TS...SG BMT 5d;150;27.0;19.6;8.6;309900;2017
Peugeot 508 2.0 HD...ive SW 5d;163;66.0;20;8.9;177000;2013
Opel Astra 1.6 CDT...joy ST 5d;110;8.0;28.6;11.4;219900;2017
Kia Rio 1.2 CVVT Motion 5d;86;160.0;20.8;13.1;57800;2012
VW Passat CC 2.0 TSi 4d;200;280.0;12.7;7.6;179800;2009
Mercedes E220 2.2 ...ut. BE 5d;170;110.0;18.2;9.00;379800;2013
VW Golf VI 2.0 TDi...ariant 5d;140;103.0;20.4;9.7;134900;2010
Audi A5 2.7 TDi Co...ltitr. 2d;190;168.0;14.9;7.6;237700;2008
Peugeot 308 1.6 Bl...ive SW 5d;120;15.0;31.3;10.1;199999;2015
Volvo S80 2.4 140 aut. 4d;140;142.0;10.8;11.4;0;2001
Volvo S60 1.6 T3 1...mentum 4d;150;78.0;18.2;9.4;259900;2015
VW Polo 1.6 TDi 90...rtline 5d;90;236.0;23.8;11.5;69800;2009
BMW 118d 2.0 Advantage 5d;143;198.0;22.2;9.00;103900;2010
Ford S0MAX 2.0 TDC.... 7prs 5d;140;180.0;16.7;10.9;148900;2011
Ford Mondeo 2.0 TD...st.car 5d;115;350.0;16.1;11.2;34900;2006
Mini Cooper 1.5 136 aut. 3d;136;10.0;21.3;7.8;269700;2015
BMW 320d 2.0 aut. 4d;190;84.0;25;7.2;329900;2016
Mercedes CLA200 d ...ban SB 5d;136;12.0;23.3;9.7;374900;2017
Ford Mondeo 2.0 TD...st.car 5d;140;166.0;20.4;9.8;169800;2012
Seat Toledo 1.2 TS... Style 5d;110;11.0;20.4;9.9;179900;2017
Hyundai i10 1.25 Go Air 5d;86;59.0;20.4;12.3;79900;2015
BMW X1 2.0 sDrive18d 5d;143;88.0;20.4;9.6;249900;2014
VW New Beetle 1.6 ...riolet 2d;102;97.0;13;12.3;137900;2007
Skoda Octavia 1.4 ...bi DSG 5d;150;38.0;20;8.6;239900;2016
Honda Civic 1.6 i0...Tourer 5d;120;22.0;25.6;10.4;179900;2015
BMW 320d 2.0 Gran ...o aut. 5d;190;46.0;23.3;7.7;384800;2016
BMW i3 125 kW REX aut. 5d;170;5.0;0;7.9;249700;2015
Citroxebn C4 1.6 ...omplet 5d;100;45.0;30.3;12.8;144900;2016
Nissan Note 1.2 Ac...h Pack 5d;80;87.0;21.3;13.7;129500;2014
Audi A3 1.8 TFSi 1... S0tr. 5d;180;37.0;17.9;7.3;264900;2013
Peugeot 508 2.0 HD...ure SW 5d;163;115.0;20;8.9;199800;2012
Opel Insignia 2.0 ...T aut. 5d;170;38.0;17.5;9.9;299900;2016
Audi A3 1.4 TFSi 1...ion SB 5d;122;99.0;18.9;9.5;179800;2013
VW Golf V 1.4 Tren...ine 75 5d;75;186.0;14.7;14.7;49900;2004
Hyundai i30 1.4 CV...ve ISG 5d;109;90.0;17.5;11.7;69900;2010
Mitsubishi ASX 1.6...Invite 5d;117;0.0;17.5;11.5;219900;2017
Mercedes C220 d 2....r aut. 5d;170;13.0;21.3;7.6;489900;2017
